TIA,Albania,AIR BP-A/BP PRODUCTS NORTH AMERICA INC(BP OIL CO)/,1,4.3068,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:Fuel Release - minimum 24 hours in advance 2) Operating Hours: OPS: 03:00 - 21:00 / Out of hours fuelling available - 24 Hours notice required 3) Ramps serviced:Can fuel on military apron 4) Additional Information: VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jan-19
BDQ,India,INDIAN OIL CORPORATION-A/INDIAN OIL CORPORATION LTD/,1,3.32364,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required: 24 hours 2) Ramps serviced: All ramps 3) Additional Information: Sales Tax of 4% is applicable to aircrafts with a maximum take-off mass of less than 40,000KG operated by scheduled airlines. Sales Tax is not applicable to commercial international flights of: Foreign International Airlines operating from those countries who are party to the 1944 ICAO convention (b) Designated airlines of countries who have entered into Air Service Agreement with India. (c) However, provision of convention on International Civil Aviation do not apply to State aircraft i.e. the aircraft used in military, government, Customs & Police Services. (d) Sales Tax is also not applicable to foreign flights of designated Indian carriers - Air India, Indian Airlines, Jet Airways, JetLite and Kingfisher Airlines only. (All other Indian carriers will be charged sales tax regardless that India has signed the 1944 ICAO convention) 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com",31-Jul-19
BHJ,India,INDIAN OIL CORPORATION-A/INDIAN OIL CORPORATION LTD/,1,3.54729,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: N/A 2) Ramps serviced: All ramps 3) Additional Information: N/A 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
BHO,India,BHARAT PETROLEUM-NON ICAO-A/BHARAT PETROLEUM CORPORATION LTD/,1,3.13739,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: N/A 2) Ramps serviced: All ramps 3) Additional Information: N/A 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
BHO,India,BHARAT PETROLEUM-A/BHARAT PETROLEUM CORPORATION LTD/,1,3.0358,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: N/A 2) Ramps serviced: All ramps 3) Additional Information: N/A 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
BHO,India,INDIAN OIL CORPORATION-A/INDIAN OIL CORPORATION LTD/,1,3.29949,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: 24 hours 2) Ramps serviced: All ramps 3) Additional Information: N/A 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
BLR,India,BHARAT PETROLEUM-A/BHARAT PETROLEUM CORPORATION LTD/,1,2.3516,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required: N/A 2) Ramps serviced: All ramps 3) Additional Information: Sales Tax is not applicable to commercial International flights of Foreign International Airlines operating from those countries who are party to the 1944 ICAO convention (b) All aircrafts with a MTOW less then 40,000kgs will be charged an additional tax of 4%. (c) Indian registered aircrafts are non tax exempted apart from Air India, Indian Airlines, Jet Airways, Kingfisher Airlines and Jetlite. All other Indian carriers, customers and entities based in India fall under Non-ICAO category will be subjected to sales tax regardless if they have signed the 1944 ICAO convention with India. (d) We are not able to quote/supply domestic fuel to Indian Registered aircrafts. 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com",31-Jul-19
BLR,India,BHARAT PETROLEUM-NON ICAO-A/BHARAT PETROLEUM CORPORATION LTD/,1,3.02863,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: N/A 2) Ramps serviced: All ramps 3) Additional Information: N/A 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
BOM,India,BHARAT PETROLEUM-A/BHARAT PETROLEUM CORPORATION LTD/,1,2.264,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: N/A 2) Ramps serviced: All ramps 3) Additional Information: Sales tax will apply to aircrafts registered in countries that have NOT signed the 1944 Chicago ICAO Convention and without a bilateral agreement with Indian Government. 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
BOM,India,BHARAT PETROLEUM-NON ICAO-A/BHARAT PETROLEUM CORPORATION LTD/,1,2.96572,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: N/A 2) Ramps serviced: All ramps 3) Additional Information: N/A 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
CBD,India,INDIAN OIL CORPORATION-A/INDIAN OIL CORPORATION LTD/,1,4.79574,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: 24 hours 2) Ramps serviced: All ramps 3) Additional Information: Sales tax will apply to aircraft registered in countries that have NOT signed the 1944 Chicago ICAO Convention and without a bilateral agreement with Indian Govt. 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
CCJ,India,BHARAT PETROLEUM-NON ICAO-A/BHARAT PETROLEUM CORPORATION LTD/,1,3.05245,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: N/A 2) Ramps serviced: All ramps 3) Additional Information: N/A 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
CCJ,India,BHARAT PETROLEUM-A/BHARAT PETROLEUM CORPORATION LTD/,1,2.39926,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: N/A 2) Ramps serviced: All ramps 3) Additional Information: Sales tax will apply to aircrafts registered in countries that have NOT signed the 1944 Chicago ICAO Convention and without a bilateral agreement with Indian Government. 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
CCU,India,BHARAT PETROLEUM-NON ICAO-A/BHARAT PETROLEUM CORPORATION LTD/,1,2.94083,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: N/A 2) Ramps serviced: All ramps 3) Additional Information: N/A 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
CCU,India,BHARAT PETROLEUM-A/BHARAT PETROLEUM CORPORATION LTD/,1,2.34426,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: N/A 2) Ramps serviced: All ramps 3) Additional Information: Sales tax will apply to aircrafts registered in countries that have NOT signed the 1944 Chicago ICAO Convention and without a bilateral agreement with Indian Government. 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
CJB,India,BHARAT PETROLEUM-A/BHARAT PETROLEUM CORPORATION LTD/,1,2.47426,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: N/A 2) Ramps serviced: All ramps 3) Additional Information: Sales tax will apply to aircrafts registered in countries that have NOT signed the 1944 Chicago ICAO Convention and without a bilateral agreement with Indian Government. 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
CJB,India,BHARAT PETROLEUM-NON ICAO-A/BHARAT PETROLEUM CORPORATION LTD/,1,3.08965,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required: N/A 2) Ramps serviced: All ramps 3) Additional Information: N/A 4) For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com,31-Jul-19
